Rank,Name,City,Position,Points,Games,Minutes,Rebounds,Assists,Steal,Block
1,Shai Gilgeous-Alexander,Okc,G,26.7,70,34.3,10.3,6.3,1.8,1
2,Giannis Antetokounmpo,Mil,F,30.3,59,34,13.9,5.9,0.8,1.2
3,Nikola Jokic,Den,C,30.1,63,36.5,14.4,10.3,1.7,0.7
4,Luka Doncic,Dal,F-G,26.1,22,35.7,13.9,7.8,2,0.4
5,Luka Doncic,Lal,F-G,26.1,20,34.8,17,7.8,1.7,0.5
6,Anthony Edwards,Min,G,23.6,70,36.3,13.6,4.6,1.1,0.6
7,Jayson Tatum,Bos,F-G,27.1,66,36.4,12.8,6,1.1,0.5
8,Kevin Durant,Pho,F,36.5,60,36.8,14.5,4.3,0.8,1.3
9,Tyrese Maxey,Phi,G,24.4,52,37.7,10.2,6.1,1.8,0.4
10,Jalen Brunson,Nyk,G,28.6,61,35.4,11.8,7.4,1,0.1
11,Paolo Banchero,Orl,F,22.4,40,34.4,12.8,4.7,0.8,0.7
12,Cade Cunningham,Det,G,23.5,66,35.2,17.7,9.2,1,0.7
13,Anthony Davis,Lal,F-C,32,42,34.3,10.9,3.4,1.3,2.1
14,Devin Booker,Pho,G,28.4,67,37.4,13.1,7.1,1,0.2
15,LaMelo Ball,Cha,G,23.6,47,32,14.3,7.4,1.1,0.3
16,De'Aaron Fox,Sac,G,27.3,45,37,13.1,6.1,1.5,0.4
17,Damian Lillard,Mil,G,34.7,58,36.1,14,7.1,1.2,0.2
18,Kyrie Irving,Dal,G,33,50,36.1,10.5,4.6,1.3,0.5
19,Zion Williamson,Nor,F,24.7,30,28.6,15,5.3,1.2,0.9
20,Karl-Anthony Towns,Nyk,C-F,29.4,65,35,13.3,3.2,1,0.7
21,LeBron James,Lal,F,40.2,62,35,17.3,8.5,0.9,0.6
22,Victor Wembanyama,San,F-C,21.2,46,33.2,14.8,3.7,1.1,3.8
23,Franz Wagner,Orl,F,23.6,54,33.8,11.1,4.7,1.3,0.4
24,Stephen Curry,Gol,G,37,60,32.2,14.2,6,1.1,0.4
25,Trae Young,Atl,G,26.5,68,36.1,21,11.4,1.2,0.2
